prolificId,taskId,dataset,taskPrompt,taskDifficulty,taskType,userDriven,orig_group,group,accuracy,time,confidence,difficulty
5e9ce99a8035dd1cf6b23aa7,1,cluster_easy_task_1,Select the points which belong to the cluster centered on the cross.,easy,cluster,supported,easy_supported_cluster,easy_cluster,1,19.925,1,1
5e9ce99a8035dd1cf6b23aa7,2,cluster_easy_task_2,Select the points which belong to the cluster centered on the cross.,easy,cluster,manual,easy_manual_cluster,easy_cluster,1,15.57,1,1
5e9ce99a8035dd1cf6b23aa7,4,cluster_med_task_1,Select the points which belong to the cluster centered on the cross.,medium,cluster,manual,medium_manual_cluster,medium_cluster,1,19.307,3,3
5e9ce99a8035dd1cf6b23aa7,5,cluster_med_task_2,Select the points which belong to the cluster centered on the cross.,medium,cluster,supported,medium_supported_cluster,medium_cluster,1,12.935,1,1
5e9ce99a8035dd1cf6b23aa7,7,cluster_hard_task_1,Select the points which belong to the cluster centered on the cross.,hard,cluster,manual,hard_manual_cluster,hard_cluster,0.9661016949152542,18.011,3,3
5e9ce99a8035dd1cf6b23aa7,8,cluster_hard_task_2,Select the points which belong to the cluster centered on the cross.,hard,cluster,supported,hard_supported_cluster,hard_cluster,0.5111111111111111,15.699,2,4
5e9ce99a8035dd1cf6b23aa7,23,out_easy_task_1,"Select the points that are outliers, i.e., that are not following the main pattern you see in the data.",easy,outlier,manual,easy_manual_outlier_cluster,easy_outlier_cluster,0.8,14.438,1,1
5e9ce99a8035dd1cf6b23aa7,24,out_easy_task_2,"Select the points that are outliers, i.e., that are not following the main pattern you see in the data.",easy,outlier,supported,easy_supported_outlier_cluster,easy_outlier_cluster,1,12.241,1,1
5e9ce99a8035dd1cf6b23aa7,25,out_easy_task_3,"Select the points that are outliers, i.e., that are not following the main pattern you see in the data.",easy,outlier,manual,easy_manual_outlier_linear,easy_outlier_linear,1,11.928,1,1
5e9ce99a8035dd1cf6b23aa7,26,out_easy_task_4,"Select the points that are outliers, i.e., that are not following the main pattern you see in the data.",easy,outlier,supported,easy_supported_outlier_linear,easy_outlier_linear,0.75,11.662,1,3
